# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
весна|noun|0a8d590d67296090	noun	весна	1	oracle-type	весна	21	0	4	17	0
вести|verb|04fae1ce9717521a	verb	вести	1	oracle-type	вести	42	0	1	41	0
вести|verb|c85f43ef610a006e	verb	вести	1	oracle-type	вести	42	0	10	32	0
ветъхъ|adj|c92d33416a5015ab	adj	ветъхъ	3	none		252	0	80	172	0
вечеръ|noun|4355416b5f7abe0f	noun	вечеръ	1	registered-lexeme	вечеръ	21	0	15	6	0
вечерьница|noun|d990eca582045cef	noun	Вечерьница	3	none		21	0	0	21	0
вещь|noun|706352805e114923	noun	вещь	1	registered-lexeme	вещь	26	0	15	11	0
вещьство|noun|4042de2422e5b82c	noun	вещьство	3	oracle-type	вещество	21	0	7	14	0
вивлиотикарь|noun|3b93df53773b6aaa	noun	вивлиотикарь	1	none		23	0	0	23	0
видимъ|adj|d44f6fc93d47d6f9	adj	видимъ	1	oracle-type	видимъ	252	0	58	194	0
видомъ|adj|5a3b9d555c063ced	adj	видомъ	1	oracle-type	видомъ	252	0	12	240	0
видъ|noun|ecd6e4aa926cba98	noun	видъ	1	registered-lexeme	видъ	21	0	16	5	0
видьць|noun|0f0cff8b21c060ac	noun	видьць	3	none		21	0	0	21	0
видѣти|verb|0d7250a6e6053866	verb	видѣти	1	registered-lexeme	видѣти	42	0	25	17	0
