source_row	lemma	class	class_four_basic_stem
3059	ослабл҄ꙗти	7	-
3062	ослабити	1	-
3063	ослабѣти	7	-
3065	ослушати	7	-
3068	ослѣпл҄ꙗти	7	-
3070	ослѣпити	1	-
3071	осмрадити	1	-
3076	оснывати	7	-
3077	оснѣжити	1	-
3078	собити	1	-
3079	осолити	1	-
3080	осрамл҄ꙗти	7	-
3082	осрамити	1	-
3083	остаꙗти	3	-
3084	оставл҄ꙗти	7	-
3086	оставити	1	-
3091	остѫпати	7	-
3092	остѫпити	1	-
3095	остоꙗти	2	-
3096	острастити	1	-
3098	острити	1	-
3102	оструити	1	-
3106	остѣнити	1	-
3107	осушати	7	-
3109	осыпати	3	-
3110	осырѣти	7	-
3116	осѣн҄ꙗти	7	-
3117	осѣнити	1	-
3119	осѣти	4v	-
3120	осѧѕати	7	-
3121	осѧгнѫти	5	-
3122	отворити	1	-
3123	отврьзати	7	-
3126	отирати	7	-
3128	отишати	7	-
3130	отлъстѣти	7	-
3133	отравити	1	-
3144	отътрѣбити	1	-
3146	отрѣшити	1	-
3147	отрѧсти	4c	обтрѧс
3149	отъбѣгати	7	-
3150	отъбѣгнѫти	5	-
3151	отъбѣжати	2	-
3152	отъвал҄ꙗти	7	-
3154	отъвалити	1	-
3155	отъвести	4c	отъвед
3157	отъводити	1	-
3158	отъвратити	1	-
3159	отъвращати	7	-
3162	отъвѣти	4v	-
3164	отъвѣщавати	7	-
3166	отъвѣщати	7	-
3167	отъган҄ꙗти	7	-
3168	отъгонити	1	-
3170	отъдаꙗти	3	-
3173	отъдесѧтьствовати	6	-
3174	отъдоити	1	-
3176	отъдыхати	7	-
3177	отъдѣлити	1	-
3179	отълагати	7	-
3180	отълѫчати	7	-
3182	отълѫчити	1	-
3184	отъложити	1	-
3189	отъмывати	7	-
3191	отъмьстити	1	-
3192	отъмьщати	7	-
3194	отъмѣтати	7	-
3195	отънемощи	4c	отънемог
3196	отъносити	1	-
3197	отъпадати	7	-
3199	отъпасти	4c	отъпад
3200	отъплатити	1	-
3202	отъпустити	1	-
3203	отъпущати	7	-
3205	отъраждати	7	-
3207	отърадити	1	-
3212	отъривати	7	-
3213	отъригати	7	-
