id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
срьдоболꙗ.n	срьдоболꙗ	n	-	-	a:ꙗ:-	-	-	-	acc.sg=срьдоболѫ	K:a:ꙗ:-;U:	-
срьдь.n	срьдь	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
срьдьце.n	срьдьце	n	-	-	o:е:-	-	-	-	nom.sg=сръдьце|сръдъце;nom.pl=сръдъца;gen.sg=сръдъца|сръдьца|срдца|сръдца;gen.pl=срьдецъ;dat.sg=сръдьцю|сръдъцю;acc.sg=срьдце|сръдьце|сръдце|сръдъце;acc.pl=сръдьца|сръдъца|срьдьцѣ;ins.sg=срьдьцемъ|срьдъцемъ|сръдъцемъ|сръдьцемь|срьдцемь|сръдцемь|сръдьцемъ|срьдцемъ;loc.sg=сръдъци|сръдьци|срьдъци|срьдци;loc.pl=сръдьцихъ|сръдъцихъ|срьдъцихъ	K:o:е:-;U:	tie s:е:-,o:е:n
срьдьцевѣдьць.n	срьдьцевѣдьць	n	-	-	o:ь:-	a	-	voc.sg=срьдьцевѣдьче	-	K:o:ь:-	-
срьпъ.n	срьпъ	n	-	-	o:ъ:-	-	-	-	acc.sg=сръпъ|скрьбь	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
срѣда.n	срѣда	n	-	-	a:а:-	-	-	-	gen.sg=срѣдъи	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
срѣдоудвориѥ.n	срѣдоудвориѥ	n	-	-	o:ѥ:-	-	-	-	-	U:	tie o:е:-,o:е:n,s:е:-
срѣмъ.n	срѣмъ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
ставило.n	ставило	n	-	-	o:о:-	-	-	-	-	K:o:о:-	tie o:о:n,ok:о:-
ставъ.n	ставъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
